stlExercise
# examples in unlabeled set: 29404
# examples in supervised training set: 15298

# examples in supervised testing set: 15298

 Iteration   FunEvals     Step Length    Function Val        Opt Cond
         1          5     3.15888e-02     1.09717e+02     8.50487e+03
         2          6     1.00000e+00     9.11323e+01     4.36102e+03
         3          7     1.00000e+00     8.36601e+01     1.97586e+03
         4          8     1.00000e+00     7.93526e+01     2.04280e+03
         5          9     1.00000e+00     7.10363e+01     2.72753e+03
         6         10     1.00000e+00     5.41221e+01     2.96684e+03
         7         11     1.00000e+00     3.27477e+01     8.10503e+02
         8         12     1.00000e+00     3.05976e+01     6.80986e+02
         9         13     1.00000e+00     2.97535e+01     5.98785e+02
        10         14     1.00000e+00     2.90197e+01     4.13864e+02
        11         15     1.00000e+00     2.85063e+01     2.35622e+02
        12         16     1.00000e+00     2.83418e+01     2.24748e+02
        13         17     1.00000e+00     2.82772e+01     1.60556e+02
        14         18     1.00000e+00     2.81390e+01     2.04862e+02
        15         19     1.00000e+00     2.79852e+01     3.04528e+02
        16         20     1.00000e+00     2.75663e+01     4.47911e+02
        17         21     1.00000e+00     2.71402e+01     4.74521e+02
        18         23     1.71320e-01     2.70477e+01     4.24587e+02
        19         24     1.00000e+00     2.67391e+01     2.58091e+02
        20         25     1.00000e+00     2.65385e+01     2.37825e+02
        21         26     1.00000e+00     2.63790e+01     3.33623e+02
        22         27     1.00000e+00     2.59854e+01     4.38769e+02
        23         28     1.00000e+00     2.51554e+01     4.95599e+02
        24         29     1.00000e+00     2.47843e+01     6.51504e+02
        25         30     1.00000e+00     2.37429e+01     3.01541e+02
        26         31     1.00000e+00     2.34383e+01     2.22786e+02
        27         32     1.00000e+00     2.32626e+01     2.27216e+02
        28         33     1.00000e+00     2.30371e+01     2.60103e+02
        29         34     1.00000e+00     2.23471e+01     3.95999e+02
        30         35     1.00000e+00     2.17077e+01     4.43907e+02
        31         36     1.00000e+00     2.10862e+01     2.76392e+02
        32         37     1.00000e+00     2.07660e+01     2.06855e+02
        33         38     1.00000e+00     2.06474e+01     2.00469e+02
        34         39     1.00000e+00     2.04954e+01     1.94371e+02
        35         40     1.00000e+00     2.02491e+01     2.29288e+02
        36         41     1.00000e+00     1.98340e+01     3.17703e+02
        37         42     1.00000e+00     1.93277e+01     3.58598e+02
        38         43     1.00000e+00     1.88276e+01     3.57111e+02
        39         44     1.00000e+00     1.84303e+01     2.16902e+02
        40         45     1.00000e+00     1.82560e+01     1.45603e+02
        41         46     1.00000e+00     1.81453e+01     1.48873e+02
        42         47     1.00000e+00     1.80344e+01     1.82331e+02
        43         48     1.00000e+00     1.78972e+01     1.75823e+02
        44         49     1.00000e+00     1.76660e+01     1.62188e+02
        45         50     1.00000e+00     1.73680e+01     1.92536e+02
        46         51     1.00000e+00     1.70869e+01     1.96415e+02
        47         52     1.00000e+00     1.68781e+01     1.49772e+02
        48         53     1.00000e+00     1.67266e+01     1.37917e+02
        49         54     1.00000e+00     1.66507e+01     1.26499e+02
        50         55     1.00000e+00     1.65627e+01     1.08811e+02
        51         56     1.00000e+00     1.64375e+01     1.37193e+02
        52         57     1.00000e+00     1.63315e+01     1.58167e+02
        53         58     1.00000e+00     1.62067e+01     1.47710e+02
        54         59     1.00000e+00     1.59354e+01     1.62874e+02
        55         60     1.00000e+00     1.58505e+01     1.80517e+02
        56         61     1.00000e+00     1.57260e+01     1.09841e+02
        57         62     1.00000e+00     1.56512e+01     8.83202e+01
        58         63     1.00000e+00     1.55935e+01     1.01636e+02
        59         64     1.00000e+00     1.55182e+01     1.30695e+02
        60         65     1.00000e+00     1.54289e+01     1.17839e+02
        61         66     1.00000e+00     1.53355e+01     9.94276e+01
        62         67     1.00000e+00     1.51816e+01     1.07414e+02
        63         68     1.00000e+00     1.50875e+01     1.42662e+02
        64         69     1.00000e+00     1.49894e+01     9.94566e+01
        65         70     1.00000e+00     1.49124e+01     7.44008e+01
        66         71     1.00000e+00     1.48762e+01     7.43111e+01
        67         72     1.00000e+00     1.48187e+01     1.04433e+02
        68         73     1.00000e+00     1.47629e+01     8.25603e+01
        69         74     1.00000e+00     1.47219e+01     7.77291e+01
        70         75     1.00000e+00     1.46147e+01     9.42234e+01
        71         76     1.00000e+00     1.45190e+01     1.48509e+02
        72         77     1.00000e+00     1.44204e+01     1.05905e+02
        73         78     1.00000e+00     1.43514e+01     9.36943e+01
        74         79     1.00000e+00     1.43121e+01     8.35891e+01
        75         80     1.00000e+00     1.42625e+01     7.69853e+01
        76         81     1.00000e+00     1.41908e+01     8.02846e+01
        77         82     1.00000e+00     1.41566e+01     1.10708e+02
        78         83     1.00000e+00     1.41071e+01     7.86258e+01
        79         84     1.00000e+00     1.40808e+01     5.79761e+01
        80         85     1.00000e+00     1.40437e+01     6.68714e+01
        81         86     1.00000e+00     1.39925e+01     8.16513e+01
        82         87     1.00000e+00     1.39238e+01     9.77307e+01
        83         88     1.00000e+00     1.38623e+01     7.76480e+01
        84         89     1.00000e+00     1.38275e+01     6.41275e+01
        85         90     1.00000e+00     1.38066e+01     5.63288e+01
        86         91     1.00000e+00     1.37769e+01     5.75142e+01
        87         92     1.00000e+00     1.37255e+01     7.49856e+01
        88         93     1.00000e+00     1.36638e+01     9.86212e+01
        89         94     1.00000e+00     1.35983e+01     7.90332e+01
        90         95     1.00000e+00     1.35567e+01     5.58392e+01
        91         96     1.00000e+00     1.35440e+01     4.98423e+01
        92         97     1.00000e+00     1.35331e+01     4.69469e+01
        93         98     1.00000e+00     1.34800e+01     6.73983e+01
        94         99     1.00000e+00     1.34350e+01     7.53432e+01
        95        100     1.00000e+00     1.33978e+01     1.07104e+02
        96        101     1.00000e+00     1.33562e+01     5.77090e+01
        97        102     1.00000e+00     1.33443e+01     4.16203e+01
        98        103     1.00000e+00     1.33354e+01     4.23883e+01
        99        104     1.00000e+00     1.33224e+01     5.13442e+01
       100        105     1.00000e+00     1.32887e+01     6.67208e+01
       101        106     1.00000e+00     1.32464e+01     7.88467e+01
       102        107     1.00000e+00     1.32327e+01     1.07181e+02
       103        108     1.00000e+00     1.31892e+01     5.01704e+01
       104        109     1.00000e+00     1.31797e+01     3.96814e+01
       105        110     1.00000e+00     1.31731e+01     4.55228e+01
       106        111     1.00000e+00     1.31625e+01     4.95024e+01
       107        112     1.00000e+00     1.31402e+01     5.24309e+01
       108        113     1.00000e+00     1.30900e+01     5.67003e+01
       109        114     1.00000e+00     1.30757e+01     8.96653e+01
       110        115     1.00000e+00     1.30485e+01     4.43290e+01
       111        116     1.00000e+00     1.30421e+01     3.55307e+01
       112        117     1.00000e+00     1.30356e+01     4.69730e+01
       113        118     1.00000e+00     1.30239e+01     4.96740e+01
       114        119     1.00000e+00     1.29959e+01     5.51850e+01
       115        120     1.00000e+00     1.29633e+01     7.14747e+01
       116        121     1.00000e+00     1.29407e+01     6.06733e+01
       117        122     1.00000e+00     1.29283e+01     3.98626e+01
       118        123     1.00000e+00     1.29228e+01     4.11456e+01
       119        124     1.00000e+00     1.29174e+01     3.66079e+01
       120        125     1.00000e+00     1.29055e+01     4.20836e+01
       121        126     1.00000e+00     1.28810e+01     5.39189e+01
       122        127     1.00000e+00     1.28488e+01     5.57891e+01
       123        129     2.49840e-01     1.28397e+01     6.21135e+01
       124        130     1.00000e+00     1.28177e+01     4.17486e+01
       125        131     1.00000e+00     1.28055e+01     3.08881e+01
       126        132     1.00000e+00     1.27956e+01     3.92949e+01
       127        133     1.00000e+00     1.27813e+01     4.95319e+01
       128        134     1.00000e+00     1.27527e+01     5.58534e+01
       129        135     1.00000e+00     1.27442e+01     8.32660e+01
       130        136     1.00000e+00     1.27130e+01     3.76087e+01
       131        137     1.00000e+00     1.27034e+01     2.84237e+01
       132        138     1.00000e+00     1.26963e+01     3.23627e+01
       133        139     1.00000e+00     1.26870e+01     3.78635e+01
       134        140     1.00000e+00     1.26715e+01     3.82751e+01
       135        141     1.00000e+00     1.26520e+01     4.39888e+01
       136        142     1.00000e+00     1.26296e+01     4.74231e+01
       137        143     1.00000e+00     1.26122e+01     4.92517e+01
       138        144     1.00000e+00     1.25990e+01     4.23300e+01
       139        145     1.00000e+00     1.25885e+01     3.13477e+01
       140        146     1.00000e+00     1.25769e+01     3.28200e+01
       141        147     1.00000e+00     1.25668e+01     3.60204e+01
       142        148     1.00000e+00     1.25549e+01     4.68723e+01
